SA3_CODE21,SA3_NAME21,SA4_NAME21,State,Maps to,"Degree of similarity [0 = Not similar, 5 = Similar]"
40101,Adelaide City,Adelaide - Central and Hills,South Australia,Purple,2.38
40102,Adelaide Hills,Adelaide - Central and Hills,South Australia,Blue,1.49
50901,Albany,Western Australia - Wheat Belt,Western Australia,Yellow,1.39
10901,Albury,Murray,New South Wales,Blue,3.51
70201,Alice Springs,Northern Territory - Outback,Northern Territory,Yellow,2.77
50601,Armadale,Perth - South East,Western Australia,Purple,3.31
11001,Armidale,New England and North West,New South Wales,Green,0.82
12501,Auburn,Sydney - Parramatta,New South Wales,Yellow,2.94
50101,Augusta - Margaret River - Busselton,Bunbury,Western Australia,Blue,3.83
30201,Bald Hills - Everton Park,Brisbane - North,Queensland,Purple,4.87
20101,Ballarat,Ballarat,Victoria,Purple,1.77
11901,Bankstown,Sydney - Inner South West,New South Wales,Blue,4.86
20901,Banyule,Melbourne - North East,Victoria,Blue,4.67
70202,Barkly,Northern Territory - Outback,Northern Territory,Green,3.19
40501,Barossa,Barossa - Yorke - Mid North,South Australia,Yellow,5.0
20301,Barwon - West,Geelong,Victoria,Green,2.68
10301,Bathurst,Central West,New South Wales,Purple,1.1
11501,Baulkham Hills,Sydney - Baulkham Hills and Hawkesbury,New South Wales,Yellow,3.78
20501,Baw Baw,Latrobe - Gippsland,Victoria,Green,0.83
20801,Bayside,Melbourne - Inner South,Victoria,Green,2.02
50401,Bayswater - Bassendean,Perth - North East,Western Australia,Purple,1.98
31101,Beaudesert,Logan - Beaudesert,Queensland,Blue,0.47
31102,Beenleigh,Logan - Beaudesert,Queensland,Green,3.36
80101,Belconnen,Australian Capital Territory,Australian Capital Territory,Blue,0.92
50602,Belmont - Victoria Park,Perth - South East,Western Australia,Yellow,2.53
20201,Bendigo,Bendigo,Victoria,Yellow,0.3
30804,Biloela,Central Queensland,Queensland,Blue,3.12
11601,Blacktown,Sydney - Blacktown,New South Wales,Purple,1.91
11602,Blacktown - North,Sydney - Blacktown,New South Wales,Purple,2.65
12401,Blue Mountains,Sydney - Outer West and Blue Mountains,New South Wales,Green,3.56
12402,Blue Mountains - South,Sydney - Outer West and Blue Mountains,New South Wales,Purple,4.98
20701,Boroondara,Melbourne - Inner East,Victoria,Green,0.28
11701,Botany,Sydney - City and Inner South,New South Wales,Yellow,3.41
10501,Bourke - Cobar - Coonamble,Far West and Orana,New South Wales,Blue,0.51
31201,Bowen Basin - North,Mackay - Isaac - Whitsunday,Queensland,Green,3.59
31301,Bribie - Beachmere,Moreton Bay - North,Queensland,Yellow,4.46
60101,Brighton,Hobart,Tasmania,Purple,2.44
21301,Brimbank,Melbourne - West,Victoria,Green,3.59
12701,Bringelly - Green Valley,Sydney - South West,New South Wales,Blue,3.34
30501,Brisbane Inner,Brisbane Inner City,Queensland,Blue,4.32
30502,Brisbane Inner - East,Brisbane Inner City,Queensland,Blue,1.76
30503,Brisbane Inner - North,Brisbane Inner City,Queensland,Purple,3.4
30504,Brisbane Inner - West,Brisbane Inner City,Queensland,Blue,4.7
30901,Broadbeach - Burleigh,Gold Coast,Queensland,Blue,2.54
10502,Broken Hill and Far West,Far West and Orana,New South Wales,Purple,0.48
31103,Browns Plains,Logan - Beaudesert,Queensland,Green,4.03
20601,Brunswick - Coburg,Melbourne - Inner,Victoria,Purple,1.43
31601,Buderim,Sunshine Coast,Queensland,Purple,2.25
50102,Bunbury,Bunbury,Western Australia,Green,3.03
31901,Bundaberg,Wide Bay,Queensland,Yellow,2.07
31902,Burnett,Wide Bay,Queensland,Blue,2.71
60401,Burnie - Ulverstone,West and North West,Tasmania,Green,0.96
40103,Burnside,Adelaide - Central and Hills,South Australia,Purple,4.27
31302,Caboolture,Moreton Bay - North,Queensland,Yellow,3.89
31303,Caboolture Hinterland,Moreton Bay - North,Queensland,Green,0.88
30601,Cairns - North,Cairns,Queensland,Yellow,4.39
30602,Cairns - South,Cairns,Queensland,Blue,0.89
31602,Caloundra,Sunshine Coast,Queensland,Green,4.2
12301,Camden,Sydney - Outer South West,New South Wales,Purple,4.73
21601,Campaspe,Shepparton,Victoria,Purple,2.8
12302,Campbelltown (NSW),Sydney - Outer South West,New South Wales,Green,1.33
40104,Campbelltown (SA),Adelaide - Central and Hills,South Australia,Purple,2.69
12001,Canada Bay,Sydney - Inner West,New South Wales,Green,0.76
80103,Canberra East,Australian Capital Territory,Australian Capital Territory,Yellow,1.26
50603,Canning,Perth - South East,Western Australia,Blue,0.06
11902,Canterbury,Sydney - Inner South West,New South Wales,Green,2.54
30101,Capalaba,Brisbane - East,Queensland,Yellow,4.49
21201,Cardinia,Melbourne - South East,Victoria,Blue,4.66
30301,Carindale,Brisbane - South,Queensland,Yellow,0.9
12502,Carlingford,Sydney - Parramatta,New South Wales,Green,2.94
21202,Casey - North,Melbourne - South East,Victoria,Yellow,4.69
21203,Casey - South,Melbourne - South East,Victoria,Green,1.32
30401,Centenary,Brisbane - West,Queensland,Green,1.0
30801,Central Highlands (Qld),Central Queensland,Queensland,Green,1.82
60301,Central Highlands (Tas.),South East,Tasmania,Purple,1.35
40401,Charles Sturt,Adelaide - West,South Australia,Purple,1.39
31801,Charters Towers - Ayr - Ingham,Townsville,Queensland,Green,1.92
12101,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,New South Wales,Purple,0.1
30202,Chermside,Brisbane - North,Queensland,Green,4.63
10401,Clarence Valley,Coffs Harbour - Grafton,New South Wales,Blue,1.39
30102,Cleveland - Stradbroke,Brisbane - East,Queensland,Green,3.41
50701,Cockburn,Perth - South West,Western Australia,Purple,0.88
10402,Coffs Harbour,Coffs Harbour - Grafton,New South Wales,Green,4.79
21703,Colac - Corangamite,Warrnambool and South West,Victoria,Green,2.15
30902,Coolangatta,Gold Coast,Queensland,Purple,1.63
50301,Cottesloe - Claremont,Perth - Inner,Western Australia,Yellow,2.89
